iter	Passed	Remaining
0	144	144359
1	147	73456
2	150	50053
3	152	37996
4	153	30593
5	156	25951
6	158	22426
7	160	19847
8	160	17719
9	162	16124
10	164	14825
11	166	13698
12	167	12686
13	167	11831
14	168	11089
15	169	10431
16	170	9876
17	171	9350
18	172	8901
19	173	8485
20	174	8116
21	174	7772
22	175	7464
23	176	7183
24	177	6920
25	178	6673
26	178	6446
27	179	6233
28	180	6034
29	180	5847
30	181	5669
31	181	5503
32	182	5352
33	183	5208
34	183	5069
35	184	4939
36	185	4816
37	185	4699
38	186	4587
39	186	4482
40	187	4380
41	187	4283
42	188	4190
43	188	4100
44	189	4015
45	189	3932
46	190	3853
47	190	3778
48	190	3706
49	191	3636
50	191	3572
51	192	3508
52	192	3447
53	193	3388
54	193	3332
55	194	3276
56	194	3223
57	195	3171
58	195	3122
59	196	3074
60	196	3028
61	197	2984
62	197	2942
63	198	2900
64	198	2860
65	199	2820
66	199	2781
67	200	2741
68	200	2705
69	200	2669
70	201	2635
71	202	2603
72	202	2571
73	202	2539
74	203	2508
75	203	2477
76	204	2448
77	204	2419
78	205	2391
79	205	2364
80	206	2337
81	206	2311
82	207	2288
83	207	2265
84	208	2239
85	208	2216
86	208	2191
87	209	2169
88	209	2147
89	210	2127
90	210	2105
91	211	2085
92	211	2065
93	212	2045
94	212	2026
95	213	2007
96	213	1988
97	214	1970
98	214	1952
99	214	1934
100	215	1917
101	215	1898
102	216	1882
103	216	1866
104	217	1849
105	217	1834
106	217	1818
107	218	1803
108	218	1788
109	219	1773
110	219	1759
111	220	1745
112	220	1731
113	221	1717
114	221	1704
115	221	1690
116	222	1678
117	222	1666
118	223	1653
119	223	1641
120	224	1629
121	224	1618
122	225	1604
123	225	1593
124	225	1581
125	226	1571
126	226	1560
127	227	1548
128	227	1537
129	228	1526
130	228	1516
131	229	1506
132	229	1496
133	230	1486
134	230	1476
135	230	1466
136	231	1457
137	231	1447
138	232	1438
139	232	1428
140	233	1419
141	233	1411
142	233	1402
143	234	1393
144	234	1385
145	235	1376
146	235	1368
147	236	1359
148	236	1351
149	237	1344
150	237	1337
151	238	1330
152	238	1322
153	239	1315
154	239	1308
155	240	1300
156	240	1293
157	241	1286
158	241	1279
159	242	1272
160	242	1265
161	243	1258
162	243	1252
163	244	1245
164	244	1238
165	245	1232
166	245	1225
167	246	1219
168	246	1213
169	247	1207
170	247	1201
171	248	1194
172	248	1188
173	249	1182
174	249	1177
175	250	1171
176	250	1166
177	251	1160
178	251	1155
179	252	1149
180	252	1143
181	253	1138
182	253	1132
183	254	1127
184	254	1122
185	255	1117
186	255	1111
187	256	1106
188	256	1101
189	257	1096
190	257	1091
191	258	1086
192	258	1081
193	259	1076
194	259	1071
195	260	1066
196	260	1062
197	260	1057
198	261	1052
199	261	1047
200	262	1042
201	262	1038
202	263	1033
203	263	1028
204	264	1024
205	264	1019
206	265	1015
207	265	1011
208	266	1006
209	266	1002
210	267	998
211	267	995
212	268	990
213	268	986
214	269	982
215	269	978
216	270	974
217	270	970
218	270	965
219	271	961
220	271	957
221	272	953
222	272	949
223	273	945
224	273	942
225	273	938
226	274	934
227	274	930
228	275	926
229	275	922
230	276	919
231	276	915
232	277	912
233	277	908
234	277	904
235	278	901
236	279	898
237	279	894
238	280	891
239	280	888
240	280	884
241	281	881
242	281	878
243	282	874
244	282	871
245	283	868
246	283	865
247	284	862
248	284	858
249	285	855
250	285	852
251	286	849
252	286	846
253	287	843
254	287	840
255	288	837
256	288	834
257	289	831
258	289	828
259	289	825
260	290	822
261	290	819
262	291	816
263	291	813
264	292	810
265	292	807
