iter	Passed	Remaining
0	139	139305
1	141	70373
2	143	47766
3	145	36255
4	146	29174
5	149	24806
6	153	21794
7	155	19265
8	157	17290
9	158	15719
10	160	14428
11	161	13282
12	161	12298
13	162	11447
14	163	10732
15	165	10150
16	166	9628
17	167	9133
18	168	8700
19	169	8308
20	170	7943
21	171	7614
22	172	7308
23	172	7028
24	173	6779
25	174	6548
26	175	6325
27	176	6123
28	177	5928
29	177	5749
30	178	5585
31	179	5432
32	180	5283
33	180	5140
34	181	5006
35	182	4880
36	182	4758
37	183	4641
38	183	4531
39	184	4425
40	184	4325
41	185	4229
42	185	4138
43	186	4051
44	187	3970
45	187	3890
46	188	3812
47	188	3738
48	189	3668
49	189	3600
50	189	3534
51	190	3470
52	190	3410
53	191	3351
54	191	3295
55	192	3240
56	192	3187
57	193	3138
58	193	3091
59	194	3044
60	194	2999
61	195	2955
62	195	2911
63	196	2869
64	196	2829
65	197	2789
66	197	2751
67	198	2714
68	198	2678
69	198	2643
70	199	2608
71	199	2575
72	200	2543
73	200	2511
74	201	2481
75	201	2452
76	202	2423
77	202	2395
78	203	2368
79	203	2341
80	204	2314
81	204	2289
82	204	2262
83	205	2238
84	205	2214
85	206	2191
86	206	2169
87	207	2146
88	207	2125
89	208	2106
90	209	2089
91	209	2070
92	210	2051
93	210	2032
94	211	2014
95	211	1995
96	212	1977
97	212	1958
98	213	1941
99	213	1923
100	214	1906
101	214	1889
102	215	1873
103	215	1858
104	216	1842
105	216	1826
106	217	1812
107	217	1797
108	218	1782
109	218	1768
110	219	1754
111	219	1740
112	219	1726
113	220	1712
114	220	1699
115	221	1686
116	221	1673
117	222	1660
118	222	1648
119	223	1636
120	223	1626
121	224	1615
122	224	1604
123	225	1592
124	225	1581
125	226	1570
126	226	1558
127	227	1548
128	227	1537
129	228	1527
130	228	1516
131	229	1506
132	229	1496
133	230	1486
134	230	1477
135	231	1468
136	231	1459
137	232	1450
138	232	1441
139	233	1432
140	233	1422
141	233	1413
142	234	1404
143	234	1395
144	235	1386
145	235	1378
146	236	1370
147	236	1361
148	237	1353
149	237	1345
150	237	1337
151	238	1330
152	239	1323
153	239	1316
154	240	1309
155	240	1301
156	241	1294
157	241	1287
158	241	1279
159	242	1273
160	242	1265
161	243	1258
162	243	1251
163	244	1244
164	244	1238
165	245	1231
166	245	1225
167	246	1218
168	246	1212
169	247	1206
170	247	1200
171	248	1193
172	248	1187
173	248	1181
174	249	1175
175	249	1170
176	250	1164
177	250	1158
178	251	1152
179	251	1147
180	252	1141
181	252	1136
182	253	1130
183	253	1125
184	254	1120
185	254	1115
186	255	1110
187	255	1104
188	256	1099
189	256	1094
190	257	1089
191	257	1084
192	258	1079
193	258	1074
194	259	1069
195	259	1064
196	259	1059
197	260	1054
198	260	1049
199	261	1045
200	261	1040
201	262	1035
202	262	1031
203	263	1026
204	263	1022
205	264	1018
206	264	1013
207	265	1009
208	265	1005
209	266	1000
210	266	996
211	266	992
212	267	988
213	267	984
214	268	980
215	269	976
216	269	973
217	270	969
218	270	965
219	271	961
220	271	957
221	271	953
222	272	949
223	272	945
224	273	942
225	274	938
226	274	934
227	274	931
228	275	927
229	275	923
230	276	920
231	276	916
232	277	912
233	277	909
234	278	905
235	278	902
236	279	898
237	279	895
238	280	891
239	280	888
240	280	884
241	281	881
242	281	878
243	282	874
244	282	871
245	283	868
246	283	865
247	284	862
248	285	860
249	285	857
250	286	854
251	287	852
252	287	849
253	288	846
254	288	843
255	289	840
256	289	837
257	290	834
258	290	831
259	291	828
260	291	825
261	292	822
262	292	819
263	292	816
264	293	813
265	293	810
266	294	808
267	294	805
268	295	802
269	295	799
270	296	796
271	296	794
272	297	791
273	297	789
274	298	786
275	298	783
276	299	781
277	300	779
278	300	776
279	301	774
280	301	772
281	302	769
282	302	766
283	303	764
284	303	762
285	304	760
286	305	757
287	305	755
288	306	753
289	306	750
290	307	748
291	307	745
292	308	743
293	308	741
294	309	738
295	309	736
296	309	733
297	310	731
298	311	729
299	311	727
300	312	724
301	312	722
302	313	720
303	313	718
304	314	716
305	315	716
306	316	715
307	317	713
308	318	711
309	319	710
310	319	708
311	320	706
312	320	703
313	321	701
314	321	700
315	322	698
316	323	696
317	323	694
318	324	692
319	324	690
320	325	688
321	325	686
322	326	684
323	327	682
324	327	680
325	328	678
326	328	676
327	329	674
328	330	674
329	331	672
330	331	670
331	332	668
332	333	667
333	333	665
334	334	663
335	334	661
336	335	659
337	335	657
338	336	656
339	337	654
340	337	652
341	338	650
342	338	648
343	339	646
344	339	644
345	339	642
346	340	640
347	341	638
348	341	636
349	341	635
350	342	633
351	342	631
352	343	629
353	344	627
354	344	626
355	345	624
356	346	623
357	346	621
358	347	620
359	347	618
360	348	616
361	348	614
362	349	613
363	349	611
364	350	609
365	350	607
366	351	606
367	351	604
368	352	602
369	352	600
370	353	598
371	353	597
372	354	595
373	354	593
374	355	592
375	355	590
376	356	588
377	356	586
378	357	585
379	357	583
380	358	581
381	358	580
382	359	578
383	359	577
384	360	575
385	361	574
386	361	572
387	362	571
388	362	569
389	363	568
390	363	566
391	364	564
392	364	563
393	365	561
394	365	560
395	366	558
396	366	556
397	367	555
398	367	553
399	368	552
400	368	550
401	369	548
402	369	547
403	370	545
404	370	544
405	371	543
406	371	541
407	372	540
408	372	538
409	373	537
410	373	535
411	374	534
412	375	533
413	375	531
414	376	530
415	376	528
416	377	527
417	377	525
418	378	524
419	378	522
420	379	521
421	379	519
422	380	518
423	380	517
424	381	515
425	381	514
426	382	512
427	382	511
428	383	510
429	383	508
430	384	507
431	384	506
432	385	504
433	385	503
434	386	501
435	386	500
436	387	498
437	387	497
438	388	496
439	388	494
440	389	493
441	390	492
442	390	491
443	391	489
444	391	488
445	392	487
446	392	485
447	393	484
448	393	483
449	394	481
450	394	480
451	395	479
452	395	477
453	396	476
454	396	475
455	397	473
456	397	472
457	398	471
458	398	469
459	399	468
460	399	467
461	399	465
462	400	464
463	400	463
464	401	461
465	401	460
466	402	459
467	402	457
468	403	456
469	403	455
470	404	454
471	404	453
472	405	451
473	405	450
474	406	449
475	406	447
476	407	446
477	407	445
478	408	444
479	408	442
480	409	441
481	409	440
482	410	439
483	410	437
484	411	436
485	411	435
486	412	434
487	412	433
488	413	431
489	413	430
490	414	429
491	414	428
492	415	426
493	415	425
494	416	424
495	416	423
496	416	421
497	417	420
498	417	419
499	418	418
500	418	417
501	419	415
502	419	414
503	420	413
504	420	412
505	421	411
506	421	410
507	422	408
508	422	407
509	423	406
510	423	405
511	424	404
512	424	403
513	425	401
514	425	400
515	426	399
516	426	398
517	426	397
518	427	396
519	427	394
520	428	393
521	428	392
522	429	391
523	429	390
524	430	389
525	430	388
526	431	386
527	431	385
528	432	384
529	432	383
530	433	382
531	433	381
532	433	380
533	434	379
534	435	378
535	435	377
536	436	376
537	436	374
538	437	373
539	437	372
540	438	371
541	438	370
542	439	369
543	439	368
544	440	367
545	440	366
546	441	365
547	441	364
548	442	363
549	442	362
550	443	361
551	443	359
552	444	358
553	444	357
554	444	356
555	445	355
556	445	354
557	446	353
558	446	352
559	447	351
560	447	350
561	448	349
562	448	348
563	449	347
564	449	346
565	450	345
566	450	344
567	451	343
568	451	342
569	452	341
570	452	340
571	453	339
572	453	337
573	454	336
574	454	335
575	455	335
576	455	333
577	456	332
578	456	331
579	456	330
580	457	329
581	457	328
582	458	327
583	458	326
584	459	325
585	459	324
586	460	323
587	460	322
588	461	321
589	461	320
590	462	319
591	462	318
592	463	317
593	463	316
594	464	315
595	464	314
596	465	314
597	465	313
598	466	312
599	466	311
600	467	310
601	468	309
602	468	308
603	469	307
604	469	306
605	470	305
606	470	304
607	470	303
608	471	302
609	471	301
610	472	300
611	472	299
612	473	298
613	473	297
614	474	296
615	474	295
616	475	294
617	475	294
618	476	293
619	476	292
620	477	291
621	477	290
622	478	289
623	478	288
624	479	287
625	479	286
626	480	285
627	480	284
628	481	283
629	481	283
630	482	282
631	482	281
632	483	280
633	483	279
634	484	278
635	484	277
636	485	276
637	485	275
638	486	274
639	486	273
640	487	272
641	487	271
642	488	270
643	488	270
644	488	269
645	489	268
646	489	267
647	490	266
648	490	265
649	491	264
650	491	263
651	492	262
652	492	261
653	493	260
654	493	259
655	494	259
656	494	258
657	495	257
658	495	256
659	496	255
660	496	254
661	496	253
662	497	252
663	497	251
664	498	251
665	498	250
666	499	249
667	499	248
668	500	247
669	500	246
670	501	245
671	501	244
672	502	243
673	502	243
674	502	242
675	503	241
676	503	240
677	504	239
678	504	238
679	505	237
680	505	236
681	506	235
682	506	235
683	507	234
684	507	233
685	508	232
686	508	231
687	508	230
688	509	229
689	509	229
690	510	228
691	511	227
692	511	226
693	512	225
694	512	224
695	513	224
696	513	223
697	514	222
698	514	221
699	515	220
700	515	219
701	516	219
702	516	218
703	517	217
704	517	216
705	518	215
706	518	214
707	519	214
708	519	213
709	519	212
710	520	211
711	520	210
712	521	209
713	521	209
714	522	208
715	522	207
716	523	206
717	523	205
718	524	204
719	524	204
720	525	203
721	525	202
722	526	201
723	526	200
724	527	200
725	527	199
726	528	198
727	528	197
728	529	196
729	529	195
730	530	195
731	530	194
732	531	193
733	531	192
734	532	191
735	532	191
736	533	190
737	533	189
738	534	188
739	534	187
740	534	186
741	535	186
742	535	185
743	536	184
744	536	183
745	537	182
746	537	182
747	538	181
748	538	180
749	539	179
750	539	178
751	540	178
752	540	177
753	541	176
754	542	175
755	542	175
756	543	174
757	543	173
758	544	172
759	544	171
760	545	171
761	545	170
762	545	169
763	546	168
764	546	168
765	547	167
766	547	166
767	548	165
768	548	164
769	549	164
770	549	163
771	550	162
772	550	161
773	551	160
774	551	160
775	552	159
776	552	158
777	553	157
778	553	157
779	553	156
780	554	155
781	554	154
782	555	153
783	555	153
784	556	152
785	557	151
786	557	150
787	558	150
788	558	149
789	559	148
790	559	147
791	560	147
792	560	146
793	561	145
794	561	144
795	562	144
796	562	143
797	563	142
798	563	141
799	563	140
800	564	140
801	564	139
802	565	138
803	565	137
804	566	137
805	566	136
806	567	135
807	567	134
808	568	134
809	568	133
810	569	132
811	569	131
812	570	131
813	570	130
814	571	129
815	571	128
816	572	128
817	572	127
818	573	126
819	573	125
820	574	125
821	574	124
822	575	123
823	575	122
824	576	122
825	576	121
826	577	120
827	577	120
828	578	119
829	578	118
830	579	117
831	579	117
832	580	116
833	580	115
834	581	114
835	581	114
836	582	113
837	582	112
838	583	111
839	583	111
840	584	110
841	584	109
842	585	108
843	585	108
844	586	107
845	587	106
846	587	106
847	588	105
848	588	104
849	589	103
850	589	103
851	590	102
852	590	101
853	591	101
854	591	100
855	592	99
856	592	98
857	593	98
858	593	97
859	594	96
860	594	96
861	595	95
862	595	94
863	596	93
864	596	93
865	597	92
866	597	91
867	598	90
868	598	90
